annotation_id,camera_id,timestamp,description,confidence
CCTV00001,CAM001,2026-03-17 07:35:36,"individual approaches the gate, tries the handle, then steps back and waits",0.7
CCTV00002,CAM001,2025-09-26 08:45:56,"vehicle_partial_02 parked briefly at the edge of frame, engine appears to remain running (exhaust visible)",0.93
CCTV00003,CAM001,2026-01-14 15:35:32,"delivery activity observed, one individual carrying boxes from a two-wheeler to the entrance",0.63
CCTV00004,CAM001,2025-12-13 20:35:45,"person crosses in front of the entrance, moderate walking pace, no bag visible",0.88
CCTV00005,CAM001,2025-12-03 13:15:55,"two individuals appear together near the gate, standing close, one gesturing with hands",0.82
CCTV00006,CAM001,2025-11-13 14:00:59,"vehicle exits frame heading south, brake lights visible briefly at the junction",0.73
CCTV00007,CAM002,2025-11-13 21:10:44,"delivery activity observed, one individual carrying boxes from a two-wheeler to the entrance",0.8
CCTV00008,CAM002,2026-04-25 06:50:53,"person_01 crouches briefly near the base of the fence, obscured partially by a parked container",0.7
CCTV00009,CAM002,2026-03-06 15:25:09,"two individuals appear together near the gate, standing close, one gesturing with hands",0.69
CCTV00010,CAM002,2026-01-21 07:25:54,"vehicle exits frame heading south, brake lights visible briefly at the junction",0.79
CCTV00011,CAM002,2025-09-23 15:10:30,individual wearing a dark jacket pauses near the fence line for several seconds before moving on,0.74
CCTV00012,CAM002,2025-09-14 14:05:19,"vehicle_partial_02 parked briefly at the edge of frame, engine appears to remain running (exhaust visible)",0.88
CCTV00013,CAM002,2026-03-12 17:15:51,"no motion detected for an extended period, frame otherwise static",0.9
CCTV00014,CAM002,2026-02-25 19:55:13,individual wearing a dark jacket pauses near the fence line for several seconds before moving on,0.85
CCTV00015,CAM002,2025-10-19 06:45:23,"individual approaches the gate, tries the handle, then steps back and waits",0.85
CCTV00016,CAM002,2026-02-20 20:50:01,"no motion detected for an extended period, frame otherwise static",0.88
CCTV00017,CAM003,2026-02-06 16:15:39,vehicle idles at the edge of frame for close to two minutes before departing,0.74
CCTV00018,CAM003,2025-11-01 11:45:02,"two people appear to exchange an object near the gate, hard to determine contents from this angle",0.76
CCTV00019,CAM003,2026-01-18 19:50:12,"vehicle exits frame heading south, brake lights visible briefly at the junction",0.66
CCTV00020,CAM003,2025-11-16 08:50:38,"delivery activity observed, one individual carrying boxes from a two-wheeler to the entrance",0.71
CCTV00021,CAM004,2026-02-09 17:35:10,"vehicle_partial_02 parked briefly at the edge of frame, engine appears to remain running (exhaust visible)",0.78
CCTV00022,CAM004,2025-11-29 12:25:45,vehicle idles at the edge of frame for close to two minutes before departing,0.94
CCTV00023,CAM004,2026-02-01 15:55:58,"two people appear to exchange an object near the gate, hard to determine contents from this angle",0.9
CCTV00024,CAM004,2026-01-27 19:05:56,"vehicle exits frame heading south, brake lights visible briefly at the junction",0.86
CCTV00025,CAM004,2025-12-07 20:05:59,"person exits frame quickly toward the rear of the property, does not look back",0.93
CCTV00026,CAM004,2025-10-23 18:25:55,"vehicle enters frame from the north access road, headlights on, no visible plate at this angle",0.84
CCTV00027,CAM005,2025-12-25 11:55:36,"person crosses in front of the entrance, moderate walking pace, no bag visible",0.57
CCTV00028,CAM005,2026-04-05 11:50:00,"person_01 crouches briefly near the base of the fence, obscured partially by a parked container",0.52
CCTV00029,CAM005,2026-01-28 23:15:24,"vehicle enters frame from the north access road, headlights on, no visible plate at this angle",0.67
CCTV00030,CAM005,2025-12-22 11:40:25,"person crosses in front of the entrance, moderate walking pace, no bag visible",0.5
CCTV00031,CAM005,2026-04-07 15:20:12,"person_01 crouches briefly near the base of the fence, obscured partially by a parked container",0.58
CCTV00032,CAM005,2026-03-12 06:50:06,"person exits frame quickly toward the rear of the property, does not look back",0.67
