evidence_id,evidence_type,collection_time,location_id,analyst,method,finding,confidence,limitations,report_timestamp
FOR001,Fingerprint Analysis,2026-03-14 20:35:39,L011,Dr. Behera,Fingerprint Analysis,The recovered latent print is consistent with the reference exemplar provided for comparison. This finding does not exclude other individuals with similar ridge characteristics and should be read as supportive rather than conclusive.,medium,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-24 00:00:00
FOR002,Digital Forensics,2026-03-14 12:10:52,L011,Dr. Panda,Digital Forensics,Deleted message fragments were partially recovered; content is incomplete and timestamps could not be fully reconstructed from the available data.,medium,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-28 00:00:00
FOR003,Fingerprint Analysis,2026-03-16 10:30:49,L018,Dr. Mohanty,Fingerprint Analysis,The recovered latent print is consistent with the reference exemplar provided for comparison. This finding does not exclude other individuals with similar ridge characteristics and should be read as supportive rather than conclusive.,low,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-26 00:00:00
FOR004,Tool Mark Analysis,2026-03-14 20:15:18,L011,Dr. Acharya,Tool Mark Analysis,The tool mark pattern observed is consistent with a pry-type implement of common dimensions. The specific tool used cannot be identified from the mark alone; several widely available tools could produce a similar pattern.,medium,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-28 00:00:00
FOR005,Trace Evidence Analysis,2026-03-14 07:55:09,L011,Dr. Verma,Trace Evidence Analysis,"Trace material recovered from the scene is consistent in composition with commonly available industrial packaging material and does not, on its own, narrow the source to any specific location or individual.",medium,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-25 00:00:00
FOR006,Document Examination,2026-03-14 06:40:58,L011,Dr. Rao,Document Examination,"Handwriting examination of the submitted document sample shows some consistent formation characteristics with the exemplar provided, but sample size is small; analyst assessment is low-to-moderate confidence.",high-uncertain,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-19 00:00:00
FOR007,Trace Evidence Analysis,2026-03-14 12:10:49,L011,Dr. Pati,Trace Evidence Analysis,"Trace material recovered from the scene is consistent in composition with commonly available industrial packaging material and does not, on its own, narrow the source to any specific location or individual.",medium,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-18 00:00:00
FOR008,Trace Evidence Analysis,2026-03-16 15:35:57,L011,Dr. Jena,Trace Evidence Analysis,"Trace material recovered from the scene is consistent in composition with commonly available industrial packaging material and does not, on its own, narrow the source to any specific location or individual.",medium,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-25 00:00:00
FOR009,Digital Forensics,2026-03-14 19:45:11,L011,Dr. Naik,Digital Forensics,"Digital forensic examination of the extracted device identified file-timestamp inconsistencies attributable to a documented clock-drift issue on the device, rather than evidence of deliberate tampering.",medium,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-31 00:00:00
FOR010,Vehicle Evidence Analysis,2026-03-16 13:20:11,L026,Dr. Panda,Vehicle Evidence Analysis,"Paint transfer sample recovered is consistent in composition with the general category of factory finish used on the vehicle type in question, but cannot be individualized to a specific vehicle without a suspect sample for direct comparison.",medium,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-20 00:00:00
FOR011,Vehicle Evidence Analysis,2026-03-16 12:55:05,L001,Dr. Tripathy,Vehicle Evidence Analysis,"Paint transfer sample recovered is consistent in composition with the general category of factory finish used on the vehicle type in question, but cannot be individualized to a specific vehicle without a suspect sample for direct comparison.",low,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-22 00:00:00
FOR012,Vehicle Evidence Analysis,2026-03-14 06:35:52,L017,Dr. Rout,Vehicle Evidence Analysis,"Undercarriage debris recovered is consistent with routine road wear and does not, on its own, indicate recent off-road or unusual travel.",low,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-26 00:00:00
FOR013,Fiber Analysis,2026-03-14 08:15:01,L011,Dr. Jena,Fiber Analysis,Fiber sample recovered is inconclusive for source-garment identification. Color and composition are common and consistent with multiple types of outerwear.,low,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-16 00:00:00
FOR014,Document Examination,2026-03-15 06:35:08,L011,Dr. Sahu,Document Examination,Ink and paper analysis places the document's likely origin within the expected timeframe; no indication of alteration after the fact was found.,medium,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-15 00:00:00
FOR015,Digital Forensics,2026-03-15 08:50:05,L011,Dr. Singh,Digital Forensics,No evidence of remote wiping or anti-forensic tools was found on the examined device. Standard usage patterns were observed throughout the period reviewed.,low,Standard chain-of-custody procedures followed; see case file for full methodology.,2026-03-18 00:00:00
