transaction_id,person_id,account_ref,timestamp,amount,debit_credit,counterparty,merchant,location_id,channel,reference_number,description,source_system
TXN00001,P001,ACC-P001,2025-09-12 09:15:03,42000,credit,Nandipur Herald,Nandipur Herald,L004,NEFT,REF538205,Salary credit,Bank Core System
TXN00002,P001,ACC-P001,2025-09-14 11:10:26,8000,debit,Landlord/Housing,Rent Payment,L001,IMPS,REF849898,Monthly rent,Bank Core System
TXN00003,P001,ACC-P001,2025-09-16 09:00:05,950,debit,Electricity Board,Electricity Board,,UPI,REF276430,Utility bill,Bank Core System
TXN00004,P001,ACC-P001,2025-10-11 10:45:50,28000,credit,Nandipur Herald,Nandipur Herald,L004,NEFT,REF382933,Salary credit,Bank Core System
TXN00005,P001,ACC-P001,2025-10-13 10:55:56,8000,debit,Landlord/Housing,Rent Payment,L001,IMPS,REF642619,Monthly rent,Bank Core System
TXN00006,P001,ACC-P001,2025-10-15 16:15:09,1500,debit,Electricity Board,Electricity Board,,UPI,REF376567,Utility bill,Bank Core System
TXN00007,P001,ACC-P001,2025-11-11 11:05:59,32000,credit,Nandipur Herald,Nandipur Herald,L004,NEFT,REF664195,Salary credit,Bank Core System
TXN00008,P001,ACC-P001,2025-11-13 16:25:39,6000,debit,Landlord/Housing,Rent Payment,L001,IMPS,REF864123,Monthly rent,Bank Core System
TXN00009,P001,ACC-P001,2025-11-15 17:05:31,1200,debit,Electricity Board,Electricity Board,,UPI,REF290153,Utility bill,Bank Core System
TXN00010,P001,ACC-P001,2025-12-12 09:05:15,32000,credit,Nandipur Herald,Nandipur Herald,L004,NEFT,REF857030,Salary credit,Bank Core System
TXN00011,P001,ACC-P001,2025-12-14 13:30:11,9500,debit,Landlord/Housing,Rent Payment,L001,IMPS,REF479757,Monthly rent,Bank Core System
TXN00012,P001,ACC-P001,2025-12-16 17:20:41,950,debit,Electricity Board,Electricity Board,,UPI,REF121246,Utility bill,Bank Core System
TXN00013,P001,ACC-P001,2026-01-08 10:55:27,35000,credit,Nandipur Herald,Nandipur Herald,L004,NEFT,REF665465,Salary credit,Bank Core System
TXN00014,P001,ACC-P001,2026-01-10 17:15:46,9500,debit,Landlord/Housing,Rent Payment,L001,IMPS,REF718133,Monthly rent,Bank Core System
TXN00015,P001,ACC-P001,2026-01-12 16:30:03,1200,debit,Electricity Board,Electricity Board,,UPI,REF375765,Utility bill,Bank Core System
TXN00016,P001,ACC-P001,2026-02-08 09:35:07,75000,credit,Nandipur Herald,Nandipur Herald,L004,NEFT,REF711118,Salary credit,Bank Core System
TXN00017,P001,ACC-P001,2026-02-10 18:00:52,6000,debit,Landlord/Housing,Rent Payment,L001,IMPS,REF782420,Monthly rent,Bank Core System
TXN00018,P001,ACC-P001,2026-02-12 18:25:23,1500,debit,Electricity Board,Electricity Board,,UPI,REF321865,Utility bill,Bank Core System
TXN00019,P001,ACC-P001,2026-02-21 08:50:11,2728,debit,Nandipur City Mall,Flipkart,L023,NEFT,REF956159,Grocery,Bank Core System
TXN00020,P001,ACC-P001,2025-09-19 22:25:42,3048,debit,Spice Route Restaurant,Flipkart,L023,IMPS,REF359218,Online purchase,Bank Core System
TXN00021,P001,ACC-P001,2026-01-30 18:40:33,3301,debit,Water Board,HP Fuel Station,L006,IMPS,REF940375,Miscellaneous,Bank Core System
TXN00022,P001,ACC-P001,2026-03-12 16:40:09,3203,debit,Local Kirana Store,Amazon,L023,ATM Withdrawal,REF604335,Grocery,Bank Core System
TXN00023,P001,ACC-P001,2025-09-12 17:40:09,4106,debit,Cafe Coffee Junction,Cafe Coffee Junction,L009,Debit Card,REF818626,Online purchase,Bank Core System
TXN00024,P001,ACC-P001,2025-11-01 10:45:37,2512,debit,Water Board,Water Board,L014,IMPS,REF939819,Restaurant payment,Bank Core System
TXN00025,P002,ACC-P002,2025-09-11 10:35:06,28000,credit,Kalinga Softtech Pvt Ltd,Kalinga Softtech Pvt Ltd,L011,NEFT,REF192771,Salary credit,Bank Core System
TXN00026,P002,ACC-P002,2025-09-13 13:40:01,15000,debit,Landlord/Housing,Rent Payment,L014,IMPS,REF722004,Monthly rent,Bank Core System
TXN00027,P002,ACC-P002,2025-09-15 20:05:48,800,debit,Electricity Board,Electricity Board,,UPI,REF517041,Utility bill,Bank Core System
TXN00028,P002,ACC-P002,2025-10-13 09:30:05,55000,credit,Kalinga Softtech Pvt Ltd,Kalinga Softtech Pvt Ltd,L011,NEFT,REF222079,Salary credit,Bank Core System
TXN00029,P002,ACC-P002,2025-10-15 17:00:32,6000,debit,Landlord/Housing,Rent Payment,L014,IMPS,REF103752,Monthly rent,Bank Core System
TXN00030,P002,ACC-P002,2025-10-17 19:55:42,1200,debit,Electricity Board,Electricity Board,,UPI,REF764348,Utility bill,Bank Core System
TXN00031,P002,ACC-P002,2025-11-09 11:35:36,28000,credit,Kalinga Softtech Pvt Ltd,Kalinga Softtech Pvt Ltd,L011,NEFT,REF795602,Salary credit,Bank Core System
TXN00032,P002,ACC-P002,2025-11-11 18:00:21,12000,debit,Landlord/Housing,Rent Payment,L014,IMPS,REF193252,Monthly rent,Bank Core System
TXN00033,P002,ACC-P002,2025-11-13 09:00:56,1200,debit,Electricity Board,Electricity Board,,UPI,REF446474,Utility bill,Bank Core System
TXN00034,P002,ACC-P002,2025-12-09 10:20:52,32000,credit,Kalinga Softtech Pvt Ltd,Kalinga Softtech Pvt Ltd,L011,NEFT,REF954397,Salary credit,Bank Core System
TXN00035,P002,ACC-P002,2025-12-11 10:40:34,8000,debit,Landlord/Housing,Rent Payment,L014,IMPS,REF738076,Monthly rent,Bank Core System
TXN00036,P002,ACC-P002,2025-12-13 18:25:43,1200,debit,Electricity Board,Electricity Board,,UPI,REF975876,Utility bill,Bank Core System
TXN00037,P002,ACC-P002,2026-01-08 10:30:18,68000,credit,Kalinga Softtech Pvt Ltd,Kalinga Softtech Pvt Ltd,L011,NEFT,REF447291,Salary credit,Bank Core System
TXN00038,P002,ACC-P002,2026-01-10 14:25:14,6000,debit,Landlord/Housing,Rent Payment,L014,IMPS,REF313962,Monthly rent,Bank Core System
