contradiction_id,topic,source_a,value_a,source_b,value_b,note
CX001,Time of arrival at incident location,Witness statement (WIT001),~21:30-21:45,Access log (warehouse badge),"2026-03-14 21:36:52 (granted), 21:48:11 (denied)",Witness estimate overlaps the warehouse access window but is not precise enough to identify which person/event was observed.
CX002,Vehicle color near warehouse,Witness statement (WIT002),dark blue or black,Vehicle registry,Owner's registered vehicle color differs,Night lighting conditions noted as a limiting factor by witness.
CX003,CCTV timestamp vs phone call timestamp,CAM016 annotation,2026-03-14 21:41:00,Call record,2026-03-14 21:44:00,CAM016 has a known +90s clock offset; discrepancy narrows once corrected but is not eliminated.
CX004,Vehicle registration match confidence,Traffic Camera sighting,Partial plate OD02KM7?16,Vehicle registry,OD02KM7416 on V017 registry,Partial capture is suggestive but not conclusive because two characters are unresolved.
CX005,Reason for denied access attempt,Access log,Denied — Rear Gate,Not yet obtained,Subject's explanation pending interview,No statement obtained yet; open item.
CX006,Reported duration of phone call,Witness statement,See linked record,Access log,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
CX007,Estimated distance traveled,Witness statement,See linked record,Witness statement,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
CX008,Sequence of two witnessed events,Access log,See linked record,Access log,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
CX009,Which door was used,CCTV annotation,See linked record,Call record,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
CX010,Whether porch light was on,Access log,See linked record,Witness statement,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
CX011,Number of people seen,Call record,See linked record,Access log,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
CX012,Direction of vehicle travel,CCTV annotation,See linked record,Vehicle sighting,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
CX013,Whether victim was alone earlier that evening,Access log,See linked record,Witness statement,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
CX014,Time gap between two calls,Access log,See linked record,Call record,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
CX015,Whether a bag was seen carried,Witness statement,See linked record,Vehicle sighting,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
CX016,Weather conditions reported,Access log,See linked record,Vehicle sighting,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
CX017,Whether the gate was locked earlier in the day,CCTV annotation,See linked record,Witness statement,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
CX018,Reported clothing color,CCTV annotation,See linked record,CCTV annotation,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
CX019,Whether music was heard,CCTV annotation,See linked record,Witness statement,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
CX020,Time the shop across the road closed,Witness statement,See linked record,CCTV annotation,See linked record,"Minor discrepancy consistent with normal source imprecision; flagged for correlation review, not resolved automatically."
